canton,canton_norm,area_km2,n_sismos,mag_max,prof_media_km,energia_total_j,primer_sismo,ultimo_sismo,n_sismos_someros,energia_somera_j,mag_max_somera,provincia,poblacion_2022,densidad_hab_km2
Colimes,COLIMES,763.7640045921845,0.0,,,0.0,,,0.0,0.0,,Guayas,26251.0,34.37056452276361
Colta,COLTA,842.063458366455,0.0,,,0.0,,,0.0,0.0,,Chimborazo,30468.0,36.182546217010554
Cotacachi,COTACACHI,1697.170159029078,4.0,5.2,78.56925,7451967299574.643,2001-09-30 11:02:43.390000+00:00,2026-04-21 02:22:20.976000+00:00,2.0,3407799859591.638,5.0,Imbabura,53001.0,31.22904307386654
Crnel. Marcelino Maridueña,CRNEL. MARCELINO MARIDUENA,256.0615726268585,4.0,5.3,91.2775,7479889279573.197,1991-09-15 19:48:42.950000+00:00,2021-01-21 10:15:34.677000+00:00,1.0,5623413251903.491,5.3,Guayas,13183.0,51.48371098700823
Cuenca,CUENCA,3210.516079736708,14.0,5.1,66.99792857142857,8428978663833.602,1983-02-18 08:55:46.910000+00:00,2023-10-13 04:00:14.342000+00:00,6.0,3270324659366.124,4.9,Azuay,596101.0,185.67139525084883
Cumanda,CUMANDA,159.9408395526406,0.0,,,0.0,,,0.0,0.0,,Chimborazo,16602.0,103.80088066585307
Cuyabeno,CUYABENO,3898.38227896973,0.0,,,0.0,,,0.0,0.0,,Sucumbíos,8852.0,2.2706854706766775
Daule,DAULE,469.4294150190776,3.0,5.1,60.57866666666666,3247399515419.2993,2005-12-12 21:07:35.670000+00:00,2026-07-27 04:38:58.348000+00:00,2.0,2996210872268.3413,5.1,Guayas,222446.0,473.8646383950179
Deleg,DELEG,76.6768466784125,1.0,5.2,90.32,3981071705534.9854,2023-05-08 00:51:55.882000+00:00,2023-05-08 00:51:55.882000+00:00,0.0,0.0,,Cañar,6046.0,78.85039959138255
Duran,DURAN,302.2702831020016,7.0,5.5,68.38828571428571,15119707002197.857,1991-05-17 08:05:18.970000+00:00,2025-01-13 02:20:54.549000+00:00,2.0,856000622860.8475,4.6,Guayas,303910.0,1005.4246711954978
Echeandia,ECHEANDIA,232.25431145703183,1.0,4.9,38.1,1412537544622.7554,1989-05-25 15:30:21.730000+00:00,1989-05-25 15:30:21.730000+00:00,1.0,1412537544622.7554,4.9,Bolívar,14654.0,63.09463065752844
El Carmen,EL CARMEN,1275.4284889315293,0.0,,,0.0,,,0.0,0.0,,Manabí,120936.0,94.81989860624196
El Chaco,EL CHACO,3516.356306864377,14.0,5.5,14.567857142857141,19507836084140.277,1987-03-06 04:17:30.070000+00:00,2023-01-26 04:29:44.012000+00:00,14.0,19507836084140.277,5.5,Napo,9252.0,2.631132681844247
