,,,,,,
,,,,,,
,Tabla N°:,1.1 ,,,,
,Nombre de la tabla:,"Población por sexo al nacer, según provincia, cantón y área de residencia",,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,
,,,,,,
,,,,,,
Índice,"Provincia, cantón y área de residencia",,,Número total de personas ,Sexo al nacer,
,,,,,Hombres,Mujeres
,,,,,,
,Chimborazo,Total Chimborazo,Rural,"247,266","117,354","129,912"
,Chimborazo,Riobamba,Total Riobamba,"260,882","123,488","137,394"
,Chimborazo,Riobamba,Urbana,"177,213","83,847","93,366"
,Chimborazo,Riobamba,Rural,"83,669","39,641","44,028"
,Chimborazo,Alausí,Total Alausí,"37,275","17,575","19,700"
,Chimborazo,Alausí,Urbana,"6,071","2,780","3,291"
,Chimborazo,Alausí,Rural,"31,204","14,795","16,409"
,Chimborazo,Colta,Total Colta,"30,468","14,425","16,043"
,Chimborazo,Colta,Urbana,"2,785","1,296","1,489"
,Chimborazo,Colta,Rural,"27,683","13,129","14,554"
,Chimborazo,Chambo,Total Chambo,"13,431","6,367","7,064"
,Chimborazo,Chambo,Urbana,"5,462","2,646","2,816"
,Chimborazo,Chambo,Rural,"7,969","3,721","4,248"
,Chimborazo,Chunchi,Total Chunchi,"10,635","4,935","5,700"
,Chimborazo,Chunchi,Urbana,"3,799","1,749","2,050"
,Chimborazo,Chunchi,Rural,"6,836","3,186","3,650"
,Chimborazo,Guamote,Total Guamote,"35,769","17,007","18,762"
,Chimborazo,Guamote,Urbana,"3,076","1,442","1,634"
,Chimborazo,Guamote,Rural,"32,693","15,565","17,128"
,Chimborazo,Guano,Total Guano,"48,327","22,811","25,516"
,Chimborazo,Guano,Urbana,"9,136","4,290","4,846"
,Chimborazo,Guano,Rural,"39,191","18,521","20,670"
,Chimborazo,Pallatanga,Total Pallatanga,"11,796","5,677","6,119"
,Chimborazo,Pallatanga,Urbana,"4,266","1,999","2,267"
,Chimborazo,Pallatanga,Rural,"7,530","3,678","3,852"
,Chimborazo,Penipe,Total Penipe,"6,748","3,202","3,546"
,Chimborazo,Penipe,Urbana,"1,417",662,755
,Chimborazo,Penipe,Rural,"5,331","2,540","2,791"
,Chimborazo,Cumandá,Total Cumandá,"16,602","7,973","8,629"
,Chimborazo,Cumandá,Urbana,"11,442","5,395","6,047"
,Chimborazo,Cumandá,Rural,"5,160","2,578","2,582"
,El Oro,Total El Oro,Total El Oro,"714,592","353,211","361,381"
,El Oro,Total El Oro,Urbana,"561,225","274,575","286,650"
,El Oro,Total El Oro,Rural,"153,367","78,636","74,731"
,El Oro,Machala,Total Machala,"306,309","150,682","155,627"
,El Oro,Machala,Urbana,"288,072","141,364","146,708"
,El Oro,Machala,Rural,"18,237","9,318","8,919"
,El Oro,Arenillas,Total Arenillas,"32,366","16,041","16,325"
,El Oro,Arenillas,Urbana,"21,524","10,485","11,039"
,El Oro,Arenillas,Rural,"10,842","5,556","5,286"
,El Oro,Atahualpa,Total Atahualpa,"6,112","3,117","2,995"
,El Oro,Atahualpa,Urbana,"1,769",883,886
,El Oro,Atahualpa,Rural,"4,343","2,234","2,109"
,El Oro,Balsas,Total Balsas,"7,875","4,058","3,817"
,El Oro,Balsas,Urbana,"4,500","2,305","2,195"
,El Oro,Balsas,Rural,"3,375","1,753","1,622"
,El Oro,Chilla,Total Chilla,"2,251","1,105","1,146"
,El Oro,Chilla,Urbana,910,422,488
,El Oro,Chilla,Rural,"1,341",683,658
,El Oro,El Guabo,Total El Guabo,"59,536","30,181","29,355"
,El Oro,El Guabo,Urbana,"26,635","13,157","13,478"
,El Oro,El Guabo,Rural,"32,901","17,024","15,877"
,El Oro,Huaquillas,Total Huaquillas,"56,303","27,447","28,856"
,El Oro,Huaquillas,Urbana,"56,021","27,249","28,772"
,El Oro,Huaquillas,Rural,282,198,84
,El Oro,Marcabelí,Total Marcabelí,"6,870","3,535","3,335"
,El Oro,Marcabelí,Urbana,"4,973","2,522","2,451"
,El Oro,Marcabelí,Rural,"1,897","1,013",884
,El Oro,Pasaje,Total Pasaje,"83,597","40,983","42,614"
,El Oro,Pasaje,Urbana,"60,147","29,135","31,012"
,El Oro,Pasaje,Rural,"23,450","11,848","11,602"
,El Oro,Piñas,Total Piñas,"29,406","14,720","14,686"
,El Oro,Piñas,Urbana,"18,482","9,033","9,449"
,El Oro,Piñas,Rural,"10,924","5,687","5,237"
,El Oro,Portovelo,Total Portovelo,"13,556","6,824","6,732"
,El Oro,Portovelo,Urbana,"9,764","4,856","4,908"
,El Oro,Portovelo,Rural,"3,792","1,968","1,824"
,El Oro,Santa Rosa,Total Santa Rosa,"80,299","39,522","40,777"
,El Oro,Santa Rosa,Urbana,"56,842","27,465","29,377"
,El Oro,Santa Rosa,Rural,"23,457","12,057","11,400"
,El Oro,Zaruma,Total Zaruma,"24,374","12,076","12,298"
,El Oro,Zaruma,Urbana,"10,005","4,928","5,077"
,El Oro,Zaruma,Rural,"14,369","7,148","7,221"
,El Oro,Las Lajas,Total Las Lajas,"5,738","2,920","2,818"
,El Oro,Las Lajas,Urbana,"1,581",771,810
,El Oro,Las Lajas,Rural,"4,157","2,149","2,008"
,Esmeraldas,Total Esmeraldas,Total Esmeraldas,"553,900","268,848","285,052"
,Esmeraldas,Total Esmeraldas,Urbana,"248,586","116,303","132,283"
,Esmeraldas,Total Esmeraldas,Rural,"305,314","152,545","152,769"
,Esmeraldas,Esmeraldas,Total Esmeraldas,"211,848","100,074","111,774"
,Esmeraldas,Esmeraldas,Urbana,"155,487","72,097","83,390"
,Esmeraldas,Esmeraldas,Rural,"56,361","27,977","28,384"
,Esmeraldas,Eloy Alfaro,Total Eloy Alfaro,"46,305","22,795","23,510"
,Esmeraldas,Eloy Alfaro,Urbana,"4,956","2,254","2,702"
,Esmeraldas,Eloy Alfaro,Rural,"41,349","20,541","20,808"
,Esmeraldas,Muisne,Total Muisne,"36,426","18,424","18,002"
,Esmeraldas,Muisne,Urbana,"5,574","2,822","2,752"
,Esmeraldas,Muisne,Rural,"30,852","15,602","15,250"
,Esmeraldas,Quinindé,Total Quinindé,"126,841","63,368","63,473"
,Esmeraldas,Quinindé,Urbana,"31,120","14,825","16,295"
,Esmeraldas,Quinindé,Rural,"95,721","48,543","47,178"
,Esmeraldas,San Lorenzo,Total San Lorenzo,"48,391","23,071","25,320"
,Esmeraldas,San Lorenzo,Urbana,"28,491","13,275","15,216"
,Esmeraldas,San Lorenzo,Rural,"19,900","9,796","10,104"
,Esmeraldas,Atacames,Total Atacames,"51,204","24,835","26,369"
,Esmeraldas,Atacames,Urbana,"18,948","9,126","9,822"
,Esmeraldas,Atacames,Rural,"32,256","15,709","16,547"
,Esmeraldas,Rioverde,Total Rioverde,"32,885","16,281","16,604"
,Esmeraldas,Rioverde,Urbana,"4,010","1,904","2,106"
,Esmeraldas,Rioverde,Rural,"28,875","14,377","14,498"
,Guayas,Total Guayas,Total Guayas,"4,391,923","2,154,292","2,237,631"
,Guayas,Total Guayas,Urbana,"3,744,462","1,826,125","1,918,337"
,Guayas,Total Guayas,Rural,"647,461","328,167","319,294"
,Guayas,Guayaquil,Total Guayaquil,"2,746,403","1,344,265","1,402,138"
,Guayas,Guayaquil,Urbana,"2,650,288","1,295,478","1,354,810"
,Guayas,Guayaquil,Rural,"96,115","48,787","47,328"
,Guayas,Alfredo Baquerizo Moreno (Juján),Total Alfredo Baquerizo Moreno (Juján),"25,526","12,720","12,806"
,Guayas,Alfredo Baquerizo Moreno (Juján),Urbana,"6,035","2,896","3,139"
,Guayas,Alfredo Baquerizo Moreno (Juján),Rural,"19,491","9,824","9,667"
,Guayas,Balao,Total Balao,"25,655","12,981","12,674"
,Guayas,Balao,Urbana,"12,850","6,489","6,361"
,Guayas,Balao,Rural,"12,805","6,492","6,313"
,Guayas,Balzar,Total Balzar,"57,829","28,732","29,097"
,Guayas,Balzar,Urbana,"32,744","15,974","16,770"
,Guayas,Balzar,Rural,"25,085","12,758","12,327"
,Guayas,Colimes,Total Colimes,"26,251","13,439","12,812"
,Guayas,Colimes,Urbana,"7,619","3,738","3,881"
,Guayas,Colimes,Rural,"18,632","9,701","8,931"
,Guayas,Daule,Total Daule,"222,446","106,825","115,621"
,Guayas,Daule,Urbana,"161,498","76,420","85,078"
,Guayas,Daule,Rural,"60,948","30,405","30,543"
,Guayas,Durán,Total Durán,"303,910","148,306","155,604"
,Guayas,Durán,Urbana,"295,211","143,842","151,369"
,Guayas,Durán,Rural,"8,699","4,464","4,235"
,Guayas,El Empalme,Total El Empalme,"79,767","39,498","40,269"
,Guayas,El Empalme,Urbana,"41,778","20,145","21,633"
,Guayas,El Empalme,Rural,"37,989","19,353","18,636"
,Guayas,El Triunfo,Total El Triunfo,"60,541","29,737","30,804"
,Guayas,El Triunfo,Urbana,"41,042","19,942","21,100"
